Code	English	English
1634486a8a	Abandon	Abandon
587a8a	Adapt	Adapt
0949	Advance	Advance
49676a898a	Again	Again
010512233445	All	All
67697a	Answer	Answer
06092649	Attack	Attack
05061617	Avoid	Avoid
0a277a	Barrier	Barrier
083738	Begin	Begin
696a9a	Body	Body
16596a9a	Breathe	Breathe
1734487a8a	Capture	Capture
373a8a	Change	Change
01051638456a8a	Chaos	Chaos
0a48899a	Chase	Chase
1659677889	Civilization	Civilization
0a3a	Clear	Clear
01050a1223343a45	Close All	Close All
698a9a	Complex	Complex
2649677889	Conflict	Conflict
011223386a899a	Contemplate	Contemplate
2667	Contract	Contract
497889	Courage	Courage
16486a8a	Create	Create
1216274548597a9a	Creativity	Creativity
093a9a	Danger	Danger
06386a8a	Data	Data
17373858	Defend	Defend
38676a789a	Destiny	Destiny
27597a9a	Destroy	Destroy
488a9a	Deteriorate	Deteriorate
27487a8a	Die	Die
16677a8a	Difficult	Difficult
122334	Discover	Discover
386a8a	Easy	Easy
010a17373a	End	End
01091223696a9a	Enlightened	Enlightened
676989	Equal	Equal
01166989	Escape	Escape
0a899a	Evolution	Evolution
0a676a	Failure	Failure
176769	Fear	Fear
061216	Follow	Follow
48	Forget	Forget
162767	Future	Future
58	Gain	Gain
4989	Grow	Grow
0609276a7a9a	Harm	Harm
060937386a7a8a9a	Harmony	Harmony
387a8a	Have	Have
59788a9a	Help	Help
16176978	Hide	Hide
3738676989	Human	Human
363969	I	I
27	Ignore	Ignore
686a898a9a	Imperfect	Imperfect
166a7a	Improve	Improve
3a898a9a	Impure	Impure
163445596a9a	Journey	Journey
36396a9a	Knowledge	Knowledge
05384548	Lead	Lead
6a9a	Less	Less
0116496a9a	Liberate	Liberate
676a7a899a	Lie	Lie
17	Lose	Lose
17497a9a	Message	Message
383a899a	Mind	Mind
7a8a	More	More
2748676989	Nature	Nature
2767	New	New
6769	No	No
343a488a	Nourish	Nourish
5989	Old	Old
373878	Open	Open
010512233437384578	Open All	Open All
0545	Outside	Outside
485989	Past	Past
0a488a	Path	Path
0a232734487a8a	Perfection	Perfection
1216274548596978	Portal	Portal
0a12277a	Potential	Potential
677889	Present	Present
0a676a7a	Pure	Pure
060959	Pursue	Pursue
066989	Question	Question
27697a9a	React	React
1216586a8a	Rebel	Rebel
050a599a	Recharge	Recharge
090a383a69	Resistance	Resistance
2327597a9a	Restraint	Restraint
0626	Retreat	Retreat
264969	Safety	Safety
177a8a	Save	Save
09	See	See
696a7889	Seek	Seek
2334	Self	Self
2759676a898a	Separate	Separate
060927486789	Shapers	Shapers
27344878	Share	Share
78	Simple	Simple
373a676a	Soul	Soul
274878	Stability	Stability
67697889	Strong	Strong
48696a8a9a	Together	Together
676a7a898a9a	Truth	Truth
177a	Use	Use
6093639	Victory	Victory
373848	Want	Want
3669	We	We
596769	Weak	Weak
67697a898a	XM	XM
070878	You	You
